;;;;;;;;;;;;;;;;;;;
Life time interval (in years);;;;;;;;;;;;;;;;;;;
Lower interval;Upper interval;Estimated failures (sample size = 100);;;;;;;;;;;;;;;;;
0;0,5;1;;;;;;;;;;;;;;;;;
0,5;1;2;;;;;;;;;;;;;;;;;
1;1,5;3;;;;;;;;;;;;;;;;;
1,5;2;4;;;;;;;;;;;;;;;;;
2;2,5;7;;;;;;;;;;;;;;;;;
2,5;3;8;;;;;;;;;;;;;;;;;
3;3,5;10;;;;;;;;;;;;;;;;;
3,5;4;11;;;;;;;;;;;;;;;;;
4;4,5;12;;;;;;;;;;;;;;;;;
4,5;5;11;;;;;;;;;;;;;;;;;
5;5,5;8;;;;;;;;;;;;;;;;;
5,5;6;6;;;;;;;;;;;;;;;;;
6;6,5;5;;;;;;;;;;;;;;;;;
6,5;7;3;;;;;;;;;;;;;;;;;
7;7,5;3;;;;;;;;;;;;;;;;;
7,5;8;2;;;;;;;;;;;;;;;;;
8;8,5;1;;;;;;;;;;;;;;;;;
8,5;9;1;;;;;;;;;;;;;;;;;
9;9,5;1;;;;;;;;;;;;;;;;;
9,5;10;1;;;;;;;;;;;;;;;;;
